timestamp,datetime,open,high,low,close,volume
1693591500,2023-09-01 18:05:00,1606.0,1609.8,1605.7,1609.8,412.67893705
1693591800,2023-09-01 18:10:00,1609.79,1610.1,1607.95,1608.18,349.55488646
1693592100,2023-09-01 18:15:00,1608.2,1609.56,1607.05,1607.64,290.25559162
1693592400,2023-09-01 18:20:00,1607.75,1607.85,1605.33,1607.25,207.88369716
1693592700,2023-09-01 18:25:00,1607.22,1607.52,1605.37,1605.93,304.99506223
1693593000,2023-09-01 18:30:00,1605.9,1608.38,1604.43,1606.15,263.61788893
1693593300,2023-09-01 18:35:00,1606.14,1609.83,1605.42,1609.83,240.82104386
1693593600,2023-09-01 18:40:00,1609.95,1617.49,1609.95,1615.44,1741.73099975
1693593900,2023-09-01 18:45:00,1615.45,1626.69,1615.44,1620.71,1362.1763415
1693594200,2023-09-01 18:50:00,1620.41,1621.89,1617.99,1619.61,580.61663188
1693594500,2023-09-01 18:55:00,1619.53,1621.05,1616.79,1617.68,679.1323531
1693594800,2023-09-01 19:00:00,1617.5,1618.66,1616.01,1616.96,356.48099817
1693595100,2023-09-01 19:05:00,1616.93,1617.49,1614.22,1614.44,314.58585389
1693595400,2023-09-01 19:10:00,1614.45,1615.43,1613.4,1613.43,295.02507743
1693595700,2023-09-01 19:15:00,1613.37,1615.16,1612.26,1613.58,396.98214899
1693596000,2023-09-01 19:20:00,1613.72,1614.6,1612.39,1614.6,97.33745291
1693596300,2023-09-01 19:25:00,1614.6,1617.14,1614.44,1616.93,246.98850451
1693596600,2023-09-01 19:30:00,1616.96,1618.23,1616.29,1617.18,309.43972801
1693596900,2023-09-01 19:35:00,1617.18,1617.18,1616.23,1616.38,252.61459704
1693597200,2023-09-01 19:40:00,1616.38,1616.68,1615.25,1615.69,93.85964766
1693597500,2023-09-01 19:45:00,1615.7,1617.29,1614.79,1616.71,277.85484288
1693597800,2023-09-01 19:50:00,1616.7,1616.7,1614.86,1616.23,249.86689674
1693598100,2023-09-01 19:55:00,1616.23,1618.66,1616.23,1618.45,145.85874231
1693598400,2023-09-01 20:00:00,1618.34,1619.45,1617.37,1618.53,325.05094766
1693598700,2023-09-01 20:05:00,1618.71,1618.81,1615.34,1616.98,243.61381404
1693599000,2023-09-01 20:10:00,1616.98,1619.18,1616.92,1619.05,535.86807553
1693599300,2023-09-01 20:15:00,1619.04,1622.75,1618.82,1622.74,294.65484929
1693599600,2023-09-01 20:20:00,1622.82,1624.98,1622.09,1622.52,548.91203416
1693599900,2023-09-01 20:25:00,1622.52,1625.47,1621.5,1624.99,395.92288539
1693600200,2023-09-01 20:30:00,1624.99,1636.48,1624.62,1630.11,1564.1416974
1693600500,2023-09-01 20:35:00,1630.05,1632.36,1626.97,1631.43,1160.37682711
1693600800,2023-09-01 20:40:00,1631.36,1631.71,1628.0,1628.56,496.05940929
1693601100,2023-09-01 20:45:00,1628.58,1629.73,1626.57,1628.87,544.93376157
1693601400,2023-09-01 20:50:00,1628.87,1629.49,1627.09,1628.28,396.47574245
1693601700,2023-09-01 20:55:00,1628.22,1629.19,1627.82,1627.82,236.25450578
1693602000,2023-09-01 21:00:00,1627.81,1628.14,1625.9,1626.63,313.02961624
